Societe,Statement,Cle_indicateur,Date,Nb_occurrences,Valeurs,Indicateur
AB inBev,Inconnu,beneficenormaliseattribuableauxporteursdescapitauxpropresdabinbev,2018-12-31,2,6248 | 6793,Bénéfice normalisé attribuable aux porteurs des capitaux propres d'AB InBev
AB inBev,Inconnu,beneficesousjacentattribuableauxporteursdescapitauxpropresdabinbev,2018-12-31,2,8099 | 8644,Bénéfice sous-jacent attribuable aux porteurs des capitaux propres d'AB InBev
AB inBev,Inconnu,creancescommercialesetautrescreances,2015-12-31,2,913 | 4451,Créances commerciales et autres créances
AB inBev,Inconnu,creancescommercialesetautrescreances,2022-12-31,2,1782 | 5330,Créances commerciales et autres créances
AB inBev,Inconnu,creancescommercialesetautrescreances,2023-12-31,2,1941 | 6024,Créances commerciales et autres créances
AB inBev,Inconnu,creancescommercialesetautrescreances,2024-12-31,2,1577 | 5270,Créances commerciales et autres créances
AB inBev,Inconnu,creancescommercialesetautrescreances,2025-12-31,2,1871 | 6161,Créances commerciales et autres créances
AB inBev,Inconnu,dettescommercialesetautresdettes,2015-12-31,2,1241 | 17662,Dettes commerciales et autres dettes
AB inBev,Inconnu,dettescommercialesetautresdettes,2022-12-31,2,859 | 26349,Dettes commerciales et autres dettes
AB inBev,Inconnu,dettescommercialesetautresdettes,2023-12-31,2,738 | 25981,Dettes commerciales et autres dettes
AB inBev,Inconnu,dettescommercialesetautresdettes,2024-12-31,2,797 | 23804,Dettes commerciales et autres dettes
AB inBev,Inconnu,dettescommercialesetautresdettes,2025-12-31,2,869 | 25455,Dettes commerciales et autres dettes
AB inBev,Inconnu,dotationsauxamortissementsetprovisions,2015-12-31,2,3153 | 3071,Dotations aux amortissements et provisions
AB inBev,Inconnu,dotationsauxamortissementsetprovisions,2024-12-31,2,-2.74 | 5496,Dotations aux amortissements et provisions
AB inBev,Inconnu,dotationsauxamortissementsetprovisions,2025-12-31,2,-2.71 | 5369,Dotations aux amortissements et provisions
AB inBev,Inconnu,ebitdanormalise,2016-12-31,2,16753 | 19633,EBITDA Normalisé
AB inBev,Inconnu,ebitdanormalise,2024-12-31,2,20958 | 10.46,EBITDA normalisé
AB inBev,Inconnu,ebitdanormalise,2025-12-31,2,21223 | 10.7,EBITDA normalisé
AB inBev,Inconnu,ebitnormalise,2017-12-31,2,17814 | 10.38,EBIT Normalisé
AB inBev,Inconnu,ebitnormalise,2018-12-31,2,17107 | 9.02,EBIT Normalisé
AB inBev,Inconnu,ebitnormalise,2019-12-31,2,16421 | 8.28,EBIT Normalisé
AB inBev,Inconnu,ebitnormalise,2020-12-31,2,12723 | 6.37,EBIT normalisé
AB inBev,Inconnu,ebitnormalise,2021-12-31,2,14438 | 7.19,EBIT normalisé
AB inBev,Inconnu,ebitnormalise,2022-12-31,2,14768 | 7.34,EBIT normalisé
AB inBev,Inconnu,ebitnormalise,2023-12-31,2,14590 | 7.24,EBIT normalisé
AB inBev,Inconnu,ebitnormalise,2024-12-31,2,15462 | 7.72,EBIT normalisé
AB inBev,Inconnu,ebitnormalise,2025-12-31,2,15854 | 7.99,EBIT normalisé
AB inBev,Inconnu,elementsnonrecurrentsattribuableauxinteretsminoritaires,2016-12-31,2,-13 | -0.01,Eléments non-récurrents attribuable aux intérêts minoritaires
AB inBev,Inconnu,elementsnonrecurrentsattribuableauxinteretsminoritaires,2017-12-31,2,-526 | -0.27,Eléments non-récurrents attribuable aux intérêts minoritaires
AB inBev,Inconnu,elementsnonrecurrentsattribuablesauxparticipationsnedonnantpaslecontrole,2019-12-31,2,-108 | -0.05,Eléments non-récurrents attribuables aux participations ne donnant pas le contrôle
AB inBev,Inconnu,elementsnonrecurrentsavantimpots,2016-12-31,2,394 | 0.23,"Eléments non-récurrents, avant impôts"
AB inBev,Inconnu,elementsnonrecurrentsavantimpots,2017-12-31,2,662 | 0.34,"Eléments non-récurrents, avant impôts"
AB inBev,Inconnu,elementsnonrecurrentsavantimpots,2018-12-31,2,715 | 0.36,"Eléments non-récurrents, avant impôts"
AB inBev,Inconnu,elementsnonrecurrentsavantimpots,2019-12-31,2,323 | 0.16,"Eléments non-récurrents, avant impôts"
